"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Age dependency ratio, young (% of working-age population)","SP.POP.DPND.YG","81.6978862347482","80.2088894821143","78.9318769009386","77.661357921207","76.1070110701107","74.2212472579129","72.5621060437523","70.3666575533886","67.9464232444365","65.6513836772983","63.5928212822436","60.5966438781852","58.1172163204172","55.8202933318794","53.3249350022783","50.4703433374615","48.9520370515739","46.8399750933998","44.3252399774139","41.8513920907962","39.7902359845174","38.4449031750713","37.458992666924","36.8725548310611","36.4781936571884","35.9888255150739","36.6945458829073","36.9659398262285","36.7572279529275","36.3708916781543","36.2074285036193","35.1482577177571","34.4883962885109","34.1792054772709","33.9682837571549","33.6168691922802","33.926933527162","34.0175557056043","33.9072190523443","33.7102163968465","33.4764016723099","33.0605590062112","32.5877625293805","32.0287492590397","31.379440555378","30.7045756679103","30.3818852924475","30.2486461965921","30.24762391851","30.2910241427472","30.3227742294998","29.8043957607227","29.1252667731404","28.3510071256242","27.6256407399153","27.0433191984701","26.4074697266433","26.0785177435784","25.9334700450047","25.790596819715","",
"Afghanistan","AFG","Age dependency ratio, young (% of working-age population)","SP.POP.DPND.YG","76.5350662490217","77.5585483184885","78.149744541807","78.4885417786952","78.7900919327576","79.1426185195761","80.2994156716716","81.3251033069515","82.2291371306992","82.9790619540013","83.5645100577018","84.7764771605152","85.7003645136419","86.3846357970087","86.8477870710354","87.0483700547815","88.0515213773547","88.9163285887625","89.5998998083791","89.9732610416413","89.8692176224009","90.9607349502504","91.9102822234286","92.7484605515548","93.6316243453011","94.8018626152659","95.4942368085768","95.721661309954","95.8047077791297","96.2624698565808","97.6727930929839","97.3295535438638","97.018628752075","96.8966892243093","96.6943423495494","95.9966196125213","96.9985292584667","98.0373138472597","98.8822494837477","99.5380744270136","100.161204014169","99.8306804041526","99.0766710268237","98.117201111389","97.0606259950063","95.8863740479536","96.445437094455","97.0225729714997","97.4567806220436","97.5859806143097","97.3419303600957","95.5102522466522","93.2028523705953","90.6111389900973","87.926202990788","85.2457718802438","83.2058048376338","81.2498276888205","79.3193832521676","77.3461577255481","",
"Angola","AGO","Age dependency ratio, young (% of working-age population)","SP.POP.DPND.YG","76.7978667593388","79.0020470128732","81.3948879333125","83.4433767042171","84.5915961586994","84.7380191862109","84.9648905274702","84.4744643780931","84.2068486334089","84.9982344731173","87.0035058438881","87.3808661275075","88.490596561432","89.7690644571508","90.4498202999419","90.2700707865","91.4078620707537","91.1659218532175","90.2780647503806","89.7062334646975","89.8330983236024","90.4514170512204","91.6931599171059","93.1696088907886","94.2604710928942","94.6935147236564","95.5917641519726","95.8666371669938","95.7189667892396","95.4477611287477","95.181374882974","95.6171778160517","95.8443963177183","95.8887862940383","95.740816448235","95.3992235379228","95.5001192571284","95.3629900483627","95.0288280586153","94.5457094413521","93.9612687492753","93.9146685697801","93.6995513735758","93.3744334612638","93.013187124629","92.675173164801","92.8730629887138","92.978293255898","93.0291954129271","93.0314374518633","92.9719699430693","93.3406630056452","93.5167638469585","93.5283379396114","93.3835096670823","93.0728356211535","92.8337202956647","92.4130335337176","91.8277557270262","91.0966590783467","",
"Albania","ALB","Age dependency ratio, young (% of working-age population)","SP.POP.DPND.YG","73.770304604756","74.9837866749869","76.1742658389852","77.2473848699427","78.0141402315743","78.3514718170654","78.6412698788454","78.40091506677","77.7555288733662","76.8914219318607","75.911343275023","74.7017558634048","73.5425815052879","72.3262124121952","70.9099946077916","69.2688395575024","67.839169920419","66.1518639972265","64.3733140427143","62.7173232573126","61.2764715292636","59.9933172070141","58.8906856325623","57.9258477696881","57.0398452911877","56.2221824912123","55.5335545881174","54.9527610256149","54.4307132101471","53.8513416790495","53.093315536225","53.5240086647663","53.7949838123408","53.8759794149716","53.8542243211141","53.8299002568361","52.6296358553239","51.5703419071518","50.5986772958163","49.5903050405146","48.450063935412","47.0791935450416","45.581843023574","43.987783128416","42.3710040416181","40.7716185301249","39.027911723291","37.4722953582793","36.053430448604","34.7510591428656","33.5653739204237","31.8028658028301","30.2896962311","29.0411021187597","28.0183077122575","27.172428567603","26.7749479170359","26.2640335507317","25.7688232292839","25.438786110468","",
"Andorra","AND","Age dependency ratio, young (% of working-age population)","SP.POP.DPND.YG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Age dependency ratio, young (% of working-age population)","SP.POP.DPND.YG","81.3241863909366","82.6261980335143","83.7891553107426","84.7673536651221","85.4742086435149","85.8729715798425","86.6742482593025","87.0529323876036","87.1319424986299","87.0452976432748","86.8489117868214","87.099372133939","87.114059495566","86.9522687824147","86.6815253352304","86.3606505064856","86.1910048799008","85.9369747302716","85.6131713750249","85.2059382656505","84.7042115897047","84.414262475717","84.0021385508129","83.4945160868082","82.9216803899385","82.2976634927906","82.0181254283792","81.5966526415869","81.0743106660624","80.4527681770055","79.8552428656952","78.9829005528723","78.2545060839174","77.0711958650368","75.7385142623958","74.0567321673032","72.6913266830409","71.2646678394623","69.8128337244148","68.3593739889063","66.9046517359799","65.4029216944623","63.901173024233","62.4270315535794","61.0142184375758","59.6885017411802","58.396008867237","57.203134929705","56.1446447549659","55.2473674624579","54.5177314053355","53.9191352407309","53.4683400565992","53.1362545213852","52.8617950507743","52.5957120528749","52.6113490351042","52.4964225492615","52.3133627818897","52.1270874321548","",
"United Arab Emirates","ARE","Age dependency ratio, young (% of working-age population)","SP.POP.DPND.YG","85.6928838951311","81.240946402704","76.5626014149413","72.1389376025344","68.1221343527854","64.5587970871168","61.2911861614498","58.6567221047418","56.68133172716","55.3116284850886","54.5734806334261","48.8937656510568","44.6441914446778","41.8553114686093","40.3880457083021","40.0088133132874","38.5967890575739","37.9228377087306","38.1438801602695","38.942696210922","39.909878673189","41.353373628342","42.8747982682777","44.5449506838702","46.2857057822935","47.9365650085887","48.2764380653776","48.1292172887947","47.6417520092861","46.8761360014472","45.8619837673558","44.2346218786235","42.6398222555856","41.0871539123635","39.5796420038192","38.168581573529","37.4479520275116","36.6806303301113","36.1909199429713","35.9626985175349","35.7422708898685","31.8319859082041","28.5795880244188","26.0255449658991","24.1032432359217","22.7077133299568","20.0127509006779","18.0686810235991","16.7954171177786","15.9465070793945","15.2699488007072","15.6396223803342","15.8639718447886","16.0753716705646","16.3538242653191","16.6824889095953","16.9986277391096","17.1729433392858","17.32090066447","17.4877749808152","",
"Argentina","ARG","Age dependency ratio, young (% of working-age population)","SP.POP.DPND.YG","48.9610623772147","48.8396183690678","48.5901317575327","48.249572014921","47.8747374161752","47.4983139178092","47.2464748714868","46.9789813161515","46.7142112629928","46.4734308557298","46.2760975048477","46.2482217907427","46.2689406778035","46.3405773828596","46.4735276646205","46.6798861898927","47.1634050139351","47.7554000838179","48.3981009120518","48.9942991760562","49.4844651973403","50.1984275902395","50.5797234069301","50.7641004190687","50.9372300486555","51.1714382715128","51.0960301254931","51.2384469839923","51.418219320096","51.3893429208349","51.0618644427614","50.8868646039097","50.4128679353868","49.758458541609","49.1063003482914","48.5357165221314","48.019181426218","47.5198498173438","47.03974113647","46.5536499652223","46.0484985054758","45.4655559094324","44.9603103001266","44.4849486158664","43.9791066495886","43.4197275744593","42.9666886656807","42.4129409470905","41.8176401620811","41.2738427896904","40.8285418195302","40.4226315227578","40.1141647190122","39.8701027539078","39.6281233799014","39.3555368434402","39.1495996828848","38.8973170540391","38.6157831478467","38.3338585942201","",
"Armenia","ARM","Age dependency ratio, young (% of working-age population)","SP.POP.DPND.YG","70.2852009096625","73.5135618740875","76.0544515288314","77.8789138667896","79.0275156732611","79.4740952429992","79.1320213454559","77.9555837971751","76.099127214448","73.8373890946358","71.3865184463312","68.0907115267989","65.1972987279385","62.5426985007623","59.8923521064736","57.1821953157534","55.0374478466063","52.7332752037706","50.5349703649126","48.7506047135475","47.4675005046231","46.6310589669841","46.2500649862084","46.1776736010497","46.1924780739953","46.1862510458623","46.2307403984929","46.3070445434019","46.4462561852507","46.6212489620334","46.7069878004038","46.9917688638389","47.1814062683843","47.2370657128659","47.1452096514391","46.9158354009065","45.9461725158041","44.7345916295944","43.3225295747171","41.7894002668957","40.2210215686145","38.3084748353579","36.6176124192131","35.08585810364","33.6259604191507","32.2057871598461","31.1578390065083","30.0739219114073","29.0782776628002","28.3504801286147","27.9826790501963","27.8925904274316","27.9982644357102","28.2861196411144","28.6721249657473","29.0835531074417","29.4646903673985","29.8827052360704","30.2930163896593","30.6506796335498","",
"American Samoa","ASM","Age dependency ratio, young (% of working-age population)","SP.POP.DPND.YG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
